# file produced from stan branch - Group-Studies---Exoplanets\Code\filtering_code_stan.ipynb
# on 22/01/2026 at 15:08
#
# WHAT HAS BEEN DONE/FILTERED
# kept only the columns needed for analysis and uncertainty calculations
# removed planets with no measured mass, zero/invalid mass uncertainties, or flagged as mass limits
# removed planets with no measured radius, zero/invalid radius uncertainties, or flagged as radius limits
# removed planets where the host star has missing radius, mass, temperature, metallicity, or j-mag
# removed planets flagged as controversial
# removed planets where stellar temperature, radius, semi-major axis, or j-mag uncertainties are missing or zero
#
#^note: doing the line above takes out 70 planets almost all from sm axis Unc
# which are all kepler planets so faint anyway so low TSM a lot of the 
# existing values for sm axis come from KOI catalogue rather than confirmed planet catalogue
#
# computed average uncertainties for mass, radius, stellar temp, stellar radius, semi-major axis, and j-mag
# computed planet surface gravity in cgs units
# computed absolute error on planet gravity from mass and radius uncertainties
# filtered planets to only those with radii between 1.5 and 4 earth radii (sub-neptunes)
# computed equilibrium temperature (teq) assuming full heat redistribution and a bond albedo of 0.3
# computed fractional uncertainties for teq based on stellar and orbital uncertainties
# computed transmission spectroscopy metric (tsm) for each planet
# computed fractional uncertainties for tsm based on planet, stellar, and teq uncertainties
#
# INDEXED COLUMNS
#
# COLUMN pl_name:             Planet Name
# COLUMN pl_orbper:           Orbital Period [days]
# COLUMN pl_orbsmax:          Orbit Semi-Major Axis [au]
# COLUMN pl_bmasse:           Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_rade:             Planet Radius [Earth Radius]
# COLUMN pl_radelim:          Planet Radius Limit Flag
# COLUMN pl_radeerr1:         Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:         Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_trandep:          Transit Depth [%]
# COLUMN pl_trandur:          Transit Duration [hours]
# COLUMN pl_bmasselim:        Planet Mass or Mass*sin(i) Limit Flag
# COLUMN pl_bmasseerr2:       Planet Mass or Mass*sin(i) Lower Unc. [Earth Mass]
# COLUMN pl_bmasseerr1:       Planet Mass or Mass*sin(i) Upper Unc. [Earth Mass]
# COLUMN pl_orbeccen:         Orbital Eccentricity
# COLUMN pl_orbincl:          Orbital Inclination [deg]
# COLUMN st_rad:              Stellar Radius [Solar Radius]
# COLUMN st_mass:             Stellar Mass [Solar Mass]
# COLUMN st_teff:             Stellar Effective Temperature [K]
# COLUMN pl_ratror:           Ratio of Planet Radius to Stellar Radius
# COLUMN st_met:              Stellar Metallicity [dex]
# COLUMN st_metlim:           Stellar Metallicity Limit Flag
# COLUMN sy_jmag:             J (2MASS) Magnitude
# COLUMN discoverymethod:     Discovery Method
# COLUMN pl_controv_flag:     Controversial Flag
# COLUMN st_tefferr1:         Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:         Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_raderr1:          Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:          Stellar Radius Lower Unc. [Solar Radius]
# COLUMN pl_orbsmaxerr1:      Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2:      Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN sy_jmagerr1:         J Magnitude Upper Unc.
# COLUMN sy_jmagerr2:         J Magnitude Lower Unc.
# COLUMN pl_bmasseerr_avg:    Planet Mass 1σ Average Error [Earth Mass]
# COLUMN pl_radeerr_avg:      Planet Radius 1σ Average Error [Earth Radius]
# COLUMN st_tefferr_avg:      Stellar Effective Temperature 1σ Average Error [K]
# COLUMN st_raderr_avg:       Stellar Radius 1σ Average Error [Solar Radius]
# COLUMN pl_orbsmaxerr_avg:   Orbit Semi-Major Axis 1σ Average Error [au]
# COLUMN sy_jmagerr_avg:      J Magnitude 1σ Average Error
# COLUMN g_planet_cgs:        Planet Surface Gravity [cm/s²]
# COLUMN g_planet_cgs_err:    Planet Surface Gravity 1σ Error [cm/s²]
# COLUMN pl_Teq:              Planet Equilibrium Temperature [K]
# COLUMN pl_Teq_err:          Planet Equilibrium Temperature 1σ Error [K]
# COLUMN pl_tsm:              Transmission Spectroscopy Metric (TSM)
# COLUMN pl_tsm_err:          TSM 1σ Error
#
pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_radelim,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_bmasselim,pl_bmasseerr2,pl_bmasseerr1,pl_orbeccen,pl_orbincl,st_rad,st_mass,st_teff,pl_ratror,st_met,st_metlim,sy_jmag,discoverymethod,pl_controv_flag,st_tefferr1,st_tefferr2,st_raderr1,st_raderr2,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_jmagerr1,sy_jmagerr2,pl_bmasseerr_avg,pl_radeerr_avg,st_tefferr_avg,st_raderr_avg,pl_orbsmaxerr_avg,sy_jmagerr_avg,g_planet_cgs,g_planet_cgs_err,pl_Teq,pl_Teq_err,pl_tsm,pl_tsm_err
HD 219134 b,3.092926,0.03876,4.74,1.602,0.0,0.055,-0.055,0.0358,0.945,0.0,-0.19,0.19,0.0,85.05,0.778,0.81,4699.0,0.0189,0.11,0.0,3.981,Radial Velocity,0.0,16.0,-16.0,0.005,-0.005,0.00047,-0.00047,0.258,-0.258,0.19,0.055,16.0,0.005,0.00047,0.258,1813.6923898304794,144.20310385880126,928.5628926776482,7.112997806301505,268.05991100284956,43.68266277594259
HD 219134 c,6.76458,0.0653,4.36,1.511,0.0,0.047,-0.047,0.0318,1.66,0.0,-0.22,0.22,0.062,87.28,0.778,0.81,4699.0,0.01776,0.11,0.0,3.981,Radial Velocity,0.0,16.0,-16.0,0.005,-0.005,0.0008,-0.0008,0.258,-0.258,0.22,0.047,16.0,0.005,0.0008,0.258,1875.2875619969177,150.21302584224097,715.3961817990162,5.515620072055863,188.39304808402773,30.140046861178625
HD 224018 c,36.57669,0.217,10.4,2.42,0.0,0.07,-0.08,,,0.0,-1.1,1.3,0.02,89.8,1.147,1.013,5784.0,0.01935,0.05,0.0,8.496,Transit,0.0,60.0,-60.0,0.028,-0.028,0.005,-0.005,0.024,-0.024,1.2000000000000002,0.07500000000000001,60.0,0.028,0.005,0.024,1743.8652351741127,228.4101354627216,586.5271110870251,11.572822935130583,15.30187180710975,2.4123223693547877
HD 224018 d,138.0731,0.53,4.2,2.4,0.0,0.1,-0.1,,,0.0,-1.6,1.8,0.04,89.9,1.147,1.013,5784.0,0.01927,0.05,0.0,8.496,Transit,0.0,60.0,-60.0,0.028,-0.028,0.06,-0.02,0.024,-0.024,1.7000000000000002,0.1,60.0,0.028,0.04,0.024,716.0397289955501,295.9043549574973,375.30126085762157,15.385443390779095,23.64874876416283,10.134354603880404
HD 23472 b,17.667087,0.1162,8.32,2.0,0.0,0.11,-0.1,0.0854,2.67,0.0,-0.79,0.78,0.072,88.93,0.71,0.67,4684.0,0.02597,-0.2,0.0,7.865,Transit,0.0,99.0,-99.0,0.02,-0.02,0.0018,-0.0018,0.024,-0.024,0.785,0.10500000000000001,99.0,0.02,0.0018,0.024,2042.5544726547346,288.33392278555846,510.6824835341242,13.560362982521527,32.80737404459014,6.37084797884048
HD 23472 c,29.79749,0.1646,3.41,1.87,0.0,0.12,-0.11,0.0671,2.94,0.0,-0.81,0.88,0.063,89.095,0.71,0.67,4684.0,0.0243,-0.2,0.0,7.865,Transit,0.0,99.0,-99.0,0.02,-0.02,0.0024,-0.0024,0.024,-0.024,0.845,0.11499999999999999,99.0,0.02,0.0024,0.024,957.5941371908314,264.9142517084746,429.08082833502664,11.33816791365168,54.97476716260978,17.335523320963304
HD 235088 b,7.4341325,0.0706,4.15,1.982,0.0,0.072,-0.069,0.0701,2.673,0.0,-0.83,0.83,0.0,88.74,0.772,0.849,5075.0,0.0236,-0.02,0.0,7.646,Transit,0.0,75.0,-75.0,0.029,-0.029,0.00054,-0.00055,0.037,-0.037,0.83,0.07050000000000001,75.0,0.029,0.000545,0.037,1037.4116218222441,220.2171905318791,740.2020972302571,17.919537128864295,86.8058730661382,20.889028770616886
HD 25463 b,7.0491423,0.076,8.7,2.54535814,0.0,0.1117151,-0.08338345,0.03005227,3.3487071,0.0,-2.6,2.7,0.0,,1.4182,1.251,6353.0,0.01645417,-0.018,0.0,5.945,Transit,0.0,85.0,-77.0,0.0241,-0.023,0.001,-0.001,0.024,-0.024,2.6500000000000004,0.09754927499999999,81.0,0.02355,0.001,0.024,1318.6567736357463,414.18165882967594,1210.4553234297825,20.06503275239735,93.01902604744572,30.498113758685246
HD 260655 c,5.70588,0.04749,3.09,1.533,0.0,0.051,-0.046,0.0821,0.98,0.0,-0.48,0.48,0.038,87.79,0.439,0.439,3803.0,0.032,-0.43,0.0,6.674,Transit,0.0,10.0,-10.0,0.003,-0.003,0.00039,-0.00039,0.024,-0.024,0.48,0.0485,10.0,0.003,0.00039,0.024,1291.173137997509,216.5714746558208,509.99446860641035,3.0364797569794635,179.8353048871741,32.90697881920703
HD 28109 b,22.891054,0.1357,6.2,2.69,0.0,0.23,-0.23,0.0301,2.69,0.0,-1.6,1.6,0.0071,87.94,1.425,1.227,6189.0,0.01441,0.1,0.0,8.476,Transit,0.0,55.0,-55.0,0.048,-0.041,0.0034,-0.0034,0.02,-0.02,1.6,0.23,55.0,0.0445,0.0034,0.02,841.3901859094409,260.47728766552706,884.598005972789,19.37479195071543,34.7657756294522,12.861350421899742
HD 3167 b,0.959641,0.01796,4.97,1.67,0.0,0.17,-0.1,0.0294,1.609,0.0,-0.23,0.24,0.0,83.4,0.88,0.837,5261.0,0.01725,0.04,0.0,7.548,Transit,0.0,60.0,-60.0,0.012,-0.013,0.00037,-0.00031,0.032,-0.032,0.235,0.135,60.0,0.0125,0.00034,0.032,1749.9827146307393,294.78294729754447,1624.2932395296534,26.6950110951869,76.6059781481747,19.127518035189752
HD 3167 c,29.8454,0.1776,11.13,3.0,0.0,0.45,-0.21,0.0946,4.869,0.0,-0.74,0.78,0.06,89.3,0.88,0.837,5261.0,0.03006,0.04,0.0,7.548,Transit,0.0,60.0,-60.0,0.012,-0.013,0.0037,-0.0031,0.032,-0.032,0.76,0.33,60.0,0.0125,0.0034000000000000002,0.032,1214.4033803764528,279.7419594392447,516.5306800983245,8.520932116205922,64.06330608710708,21.711608201502536
HD 35843 c,46.9622,0.25,11.32,2.54,0.0,0.08,-0.07,0.07577887,5.8,0.0,-1.48,1.58,0.153,89.58,0.897,0.94,5666.0,0.026,-0.27,0.0,8.151,Transit,0.0,61.0,-61.0,0.019,-0.019,0.01,-0.01,0.024,-0.024,1.53,0.07500000000000001,61.0,0.019,0.01,0.024,1723.0159833973503,254.1402732451197,473.3809233174719,11.863576159796754,25.144970731154654,4.256839137116092
HD 42813 b,13.6308205,0.111,9.1,3.41,0.0,0.046,-0.046,0.11791033,4.327,0.0,-0.79,0.82,0.0,89.3,0.98,0.901,5289.0,0.03195,0.24,0.0,8.056,Transit,0.0,69.0,-69.0,0.007,-0.007,0.002,-0.002,0.029,-0.029,0.8049999999999999,0.046,69.0,0.007,0.002,0.029,768.4983632635137,71.07399145342232,693.1593415499656,11.264937871977386,98.54001939550955,9.907929245944349
HD 5278 b,14.339156,0.1202,7.8,2.45,0.0,0.05,-0.05,0.03926347,4.8,0.0,-1.4,1.5,0.08,89.27,1.194,1.126,6203.0,0.01874,-0.12,0.0,6.949,Transit,0.0,64.0,-64.0,0.017,-0.016,0.0013,-0.0013,0.027,-0.027,1.45,0.05,64.0,0.0165,0.0013,0.027,1276.0648517209922,242.86779234877017,862.3025606424553,11.678938732220036,58.56325641326991,11.625684809342335
HD 6061 b,5.2549,0.06,10.0,2.42763557,0.0,0.09903199,-0.07283589,0.0567,3.239598,0.0,-2.5,2.5,0.0,,1.0072,1.0269,5934.0,0.02209837,-0.05,0.0,7.711,Transit,0.0,75.0,-78.0,0.0169,-0.0161,0.001,-0.001,0.03,-0.03,2.5,0.08593394,76.5,0.0165,0.001,0.03,1666.2621459359582,432.94650488919586,1072.352924118267,18.658204132281153,54.67985168193796,15.009035268200483
HD 63433 c,20.5438281,0.146,15.539,2.692,0.0,0.108,-0.088,0.07993817,4.068,0.0,-3.802,3.861,0.21,89.07,0.934,0.956,5553.0,0.026,-0.07,0.0,5.624,Transit,0.0,56.0,-56.0,0.029,-0.029,0.003,-0.003,0.043,-0.043,3.8315,0.098,56.0,0.029,0.003,0.043,2105.635859457351,541.3546971560953,619.4876442187042,13.11600981874122,84.27748003056597,23.45009325594547
HD 63935 b,9.058807,0.083,10.5,2.91575244,0.0,0.09298372,-0.07706553,0.0875,3.7026559,0.0,-1.5,1.6,0.0,88.49,0.9598,0.9406,5513.0,0.0278509,0.107,0.0,7.304,Transit,0.0,71.0,-73.0,0.0168,-0.0167,0.002,-0.002,0.024,-0.024,1.55,0.08502462499999999,72.0,0.01675,0.002,0.024,1212.8254905257809,192.50222143216058,826.889132356063,16.36870348326936,93.87682797350551,16.575737158107895
HD 63935 c,21.4027,0.148,11.1,3.06451296,0.0,0.0880571,-0.07912569,0.0960754,5.4205342,0.0,-1.9,2.0,0.0,88.241,0.9598,0.9406,5513.0,0.02927184,0.107,0.0,7.304,Radial Velocity,0.0,71.0,-73.0,0.0168,-0.0167,0.003,-0.003,0.024,-0.024,1.95,0.083591395,72.0,0.01675,0.003,0.024,1160.6742956408937,213.50770088164683,619.234967674863,11.575301741167952,77.20854341741963,15.29590123253206
HD 73583 b,6.398042,0.0604,10.2,2.79,0.0,0.1,-0.1,0.1446,2.143,0.0,-3.1,3.4,0.09,88.37,0.65,0.73,4511.0,0.03932,0.0,0.0,7.649,Transit,0.0,110.0,-110.0,0.02,-0.02,0.0027,-0.0026,0.026,-0.026,3.25,0.1,110.0,0.02,0.00265,0.026,1286.7734092251098,420.2495036881854,652.708098325053,23.6469794802868,124.3124699706837,42.76211115243841
HD 73583 c,18.87974,0.1242,9.7,2.39,0.0,0.1,-0.09,0.1199,3.67,0.0,-1.7,1.8,0.08,89.72,0.65,0.73,4511.0,0.03368,0.0,0.0,7.649,Transit,0.0,110.0,-110.0,0.02,-0.02,0.0055,-0.0054,0.026,-0.026,1.75,0.095,110.0,0.02,0.00545,0.026,1667.5783378158549,328.7648393333695,455.17318855183214,16.491400398189125,56.40823006039416,12.864474347373417
HD 77946 b,6.527363,0.073,10.9,2.89646124,0.0,0.1867559,-0.14235529,0.04154309,2.9756716,0.0,-1.7,1.8,0.211,87.79,1.3174,1.1973,6007.0,0.02015722,0.215,0.0,7.904,Transit,0.0,83.0,-88.0,0.0249,-0.0142,0.001,-0.01,0.02,-0.02,1.75,0.164555595,85.5,0.019549999999999998,0.0055,0.02,1275.85514139007,250.94858228738624,1125.5453457743026,46.089212631588666,48.58635439023756,11.647357051217545
HD 80653 b,0.719573,0.01661,5.72,1.613,0.0,0.071,-0.071,0.01596404,1.7976,0.0,-0.35,0.36,0.0,82.1,1.22,1.18,5959.0,0.0121,0.255,0.0,8.315,Transit,0.0,61.0,-61.0,0.01,-0.01,0.00019,-0.00019,0.023,-0.023,0.355,0.071,61.0,0.01,0.00019,0.023,2158.92525424068,232.54260567398245,2252.5604239426766,27.98047733248232,30.39725779597996,4.490652360910802
HD 86226 c,3.98442,0.049,7.25,2.16,0.0,0.08,-0.08,0.0445,3.12,0.0,-1.12,1.19,0.075,86.45,1.053,1.019,5863.0,0.0188,0.018,0.0,6.839,Transit,0.0,88.0,-88.0,0.026,-0.026,0.001,-0.001,0.019,-0.019,1.155,0.08,88.0,0.026,0.001,0.019,1525.951803414973,268.0935096374831,1198.7924657308974,26.31398850245373,81.18598317459781,16.383182070965297
HD 88986 b,146.05,0.58,17.2,2.49,0.0,0.18,-0.18,,,0.0,-3.8,4.0,0.24,89.9,1.543,1.25,5861.0,0.0148,0.06,0.0,5.247,Radial Velocity,0.0,17.0,-17.0,0.01,-0.01,0.04,-0.04,0.024,-0.024,3.9,0.18,17.0,0.01,0.04,0.024,2724.206753617918,732.5827808890863,421.6466485163062,14.654718342623509,17.87544820579974,5.651089433543434
HD 93963 A c,3.6451389,0.04726,18.4,3.11976057,0.0,0.13502367,-0.10446158,0.078,2.3643117,0.0,-3.1,3.2,0.0,86.31,1.0311,1.0844,5908.0,0.02773878,0.11,0.0,8.108,Transit,0.0,66.0,-72.0,0.0176,-0.0169,0.0008,-0.0009,0.034,-0.034,3.1500000000000004,0.119742625,69.0,0.01725,0.0008500000000000001,0.034,1856.4600416389226,348.30604546239647,1217.1720931074592,20.62890229209982,57.79714069721809,12.153693088612206
HD 97658 b,9.4897116,0.0805,8.3,2.12,0.0,0.06,-0.06,0.0712,2.8488,0.0,-1.1,1.1,0.05,89.05,0.728,0.85,5212.0,0.0267,-0.23,0.0,6.203,Radial Velocity,0.0,43.0,-43.0,0.008,-0.008,0.001,-0.0011,0.023,-0.023,1.1,0.06,43.0,0.008,0.0010500000000000002,0.023,1813.4963385026902,261.34627901638316,691.32159225211,8.202825298814453,108.4219960650684,17.316732036090936
HIP 116454 b,9.1004157,0.0792,9.7,2.469,0.0,0.1,-0.091,0.0889,2.431,0.0,-1.2,1.2,0.215,88.91,0.758,0.8,5048.0,0.02981,0.0,0.0,8.604,Transit,0.0,79.0,-78.0,0.024,-0.022,0.0011,-0.001,0.021,-0.021,1.2,0.0955,78.5,0.023,0.0010500000000000002,0.021,1562.571385124994,227.99062433228897,688.809809355346,15.64584199548517,44.57824766049995,8.105617049349329
HIP 29442 c,3.5379559,0.04518,4.5,1.551,0.0,0.045,-0.045,,2.429,0.0,-0.32,0.32,,86.3,0.98,0.901,5289.0,0.01453,0.24,0.0,8.056,Radial Velocity,0.0,69.0,-69.0,0.007,-0.007,0.00082,-0.00082,0.029,-0.029,0.32,0.045,69.0,0.007,0.00082,0.029,1836.9580166457815,168.59964597859644,1086.4793005102642,17.69674274148285,28.930952349850287,3.3340460455364744
HIP 29442 d,6.429575,0.0673,5.14,1.538,0.0,0.049,-0.049,,3.08,0.0,-0.41,0.41,,88.9,0.98,0.901,5289.0,0.0144,0.24,0.0,8.056,Radial Velocity,0.0,69.0,-69.0,0.007,-0.007,0.0012,-0.0012,0.029,-0.029,0.41,0.049,69.0,0.007,0.0012,0.029,2133.8346378436727,217.84796487675433,890.1988681965536,14.421068458772368,20.235377879997415,2.5709965519242215
HIP 8152 b,10.751014,0.093,8.9,2.53625843,0.0,0.15691518,-0.13542085,0.06380929,2.9954278,0.0,-1.7,1.7,0.0,,0.9603,0.9373,5618.0,0.02421345,0.007,0.0,8.847,Transit,0.0,74.0,-73.0,0.0175,-0.0163,0.002,-0.002,0.027,-0.027,1.7,0.14616801499999998,73.5,0.0169,0.002,0.027,1358.6678913868877,303.1102059003182,796.2541155303562,15.195985522102328,33.91555133844074,8.85288924193048
HIP 8152 c,19.60562,0.139,10.7,2.52442508,0.0,0.14962921,-0.14078921,0.03452403,4.383408,0.0,-2.2,2.1,0.2,,0.9603,0.9373,5618.0,0.02410048,0.007,0.0,8.847,Transit,0.0,74.0,-73.0,0.0175,-0.0163,0.003,-0.002,0.027,-0.027,2.1500000000000004,0.14520921,73.5,0.0169,0.0025,0.027,1648.80432436288,381.7602911072425,651.3070275472579,11.821937455704438,22.753391137819296,6.100129932778304
HIP 97166 b,10.288914,0.091,19.1,2.4801338,0.0,0.07271432,-0.05203142,0.0854,1.5329366,0.0,-1.5,1.6,0.29,,0.8418,0.9342,5216.0,0.02700976,0.248,0.0,8.386,Transit,0.0,52.0,-52.0,0.0123,-0.0102,0.002,-0.002,0.021,-0.021,1.55,0.06237287,52.0,0.01125,0.002,0.021,3049.2529849855464,291.12793781362217,699.7280958762798,11.386371476314379,20.89652065671002,2.4144840759122195
HR 858 b,3.585287,0.04888,3.55,2.004,0.0,0.045,-0.047,0.02137,2.705,0.0,-0.96,0.94,0.0,85.98,1.258,1.204,6354.0,0.0146,0.025,0.0,5.473,Transit,0.0,70.0,-70.0,0.019,-0.019,0.00066,-0.00066,0.027,-0.027,0.95,0.046,70.0,0.019,0.00066,0.027,868.0469814636604,235.68768240655498,1421.771804758616,21.277900402161467,206.3972748818765,57.512595644869904
HR 858 d,11.230511,0.1046,7.1,2.001,0.0,0.063,-0.064,0.0213,3.47,0.0,-1.6,1.6,0.0,87.72,1.258,1.204,6354.0,0.01514,0.025,0.0,5.473,Transit,0.0,70.0,-70.0,0.019,-0.019,0.0014,-0.0014,0.027,-0.027,1.6,0.0635,70.0,0.019,0.0014,0.027,1741.3035442847108,407.67257657221893,971.9180636478485,14.51968867051075,70.229865049735,17.365006685396185
K2-10 b,19.30553,0.137,25.2,3.773,0.0,0.088,-0.048,0.1691,3.8064,0.0,-8.4,8.4,0.31,89.50414,0.956,0.88,5533.0,0.037959,-0.07,0.0,11.059,Transit,0.0,100.0,-100.0,0.037,-0.037,0.0015,-0.0015,0.023,-0.023,8.4,0.068,100.0,0.037,0.0015,0.023,1738.3500840809086,582.828097894758,644.6697583465334,17.43108581789706,11.816567978320927,4.108181605290989
K2-100 b,1.6739035,0.0301,21.8,3.88,0.0,0.16,-0.16,0.01225,1.6056,0.0,-6.2,6.2,0.0,81.27,1.24,1.15,5945.0,0.02867,0.22,0.0,9.463,Transit,0.0,110.0,-110.0,0.05,-0.05,0.0014,-0.0014,0.026,-0.026,6.2,0.16,110.0,0.05,0.0014,0.026,1422.0123066458855,421.0872231587194,1683.0127991974316,60.440301511803675,48.072056481144585,15.512206675244638
K2-105 b,8.26726,0.0796,15.4,3.4,0.0,0.12,-0.05,0.1338,3.43,0.0,-4.4,4.4,0.0,88.62,0.905,0.94,5373.0,0.03332,0.22,0.0,10.541,Transit,0.0,100.0,-100.0,0.035,-0.035,0.0007,-0.0007,0.02,-0.02,4.4,0.08499999999999999,100.0,0.035,0.0007,0.02,1308.1971519365068,379.45081629634495,799.0842326161304,21.73221867822084,24.843993266125743,7.61965116541095
K2-110 b,13.86375,0.10207,15.9,2.592,0.0,0.098,-0.097,0.1361,3.22,0.0,-2.7,2.7,0.13,89.35,0.713,0.738,5010.0,0.0333,-0.34,0.0,10.184,Transit,0.0,50.0,-50.0,0.02,-0.02,0.00083,-0.00083,0.022,-0.022,2.7,0.0975,50.0,0.02,0.00083,0.022,2324.007056925103,431.63800312416294,584.0383945051173,10.330048379052508,14.566014942098409,3.0944875632549227
K2-111 b,5.3518,0.0565,5.58,1.82,0.0,0.11,-0.09,0.01184,3.38,0.0,-0.73,0.74,0.1,86.43,1.25,0.84,5775.0,0.01255,-0.46,0.0,9.768,Transit,0.0,70.0,-70.0,0.02,-0.02,0.00045,-0.00045,0.023,-0.023,0.735,0.1,70.0,0.02,0.00045,0.023,1654.2522557159084,283.7710894380389,1198.093566724142,18.04244993763896,11.61505365420787,2.488005060041344
K2-131 b,0.3693038,0.00936,7.9,1.69,0.0,0.085,-0.058,0.07556536,1.0027781,0.0,-1.3,1.3,0.0,85.0,0.7595,0.803,5120.0,0.0172,-0.04,0.0,10.57,Transit,0.0,71.0,-71.0,0.0087,-0.0089,0.00014,-0.00014,0.026,-0.026,1.3,0.07150000000000001,71.0,0.008799999999999999,0.00014,0.026,2716.2140704868534,502.6005851433127,2034.2479674483757,34.14817025381257,20.881029263109046,4.387531585011736
K2-136 c,17.30713,0.1185,18.1,3.0,0.0,0.13,-0.13,0.1909,3.449,0.0,-1.8,1.9,0.047,89.7,0.677,0.742,4500.0,0.04064,-0.02,0.0,9.096,Transit,0.0,125.0,-75.0,0.027,-0.027,0.002,-0.0021,0.022,-0.022,1.85,0.13,100.0,0.027,0.0020499999999999997,0.022,1974.9057668296316,264.65199193906744,474.4119696652365,14.747164059598106,29.969083346559245,5.588896231550826
K2-138 b,2.35309,0.03385,3.1,1.51,0.0,0.11,-0.084,,2.01,0.0,-1.05,1.05,0.048,87.2,0.863,0.935,5356.3,0.016,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.00023,-0.00029,0.021,-0.021,1.05,0.097,27.45,0.0245,0.00026000000000000003,0.021,1335.1132678959925,483.6548736164551,1192.8859398128661,18.57616892881993,15.824027224894774,6.238425838766985
K2-138 c,3.56004,0.04461,6.31,2.299,0.0,0.12,-0.087,,2.38,0.0,-1.23,1.13,0.045,88.1,0.863,0.935,5356.3,0.02439,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.0003,-0.00038,0.021,-0.021,1.18,0.1035,27.45,0.0245,0.00034,0.021,1172.3619895534466,243.32605736321221,1039.1114841022434,16.173947061687098,23.90004137887771,5.694595744683491
K2-138 d,5.40479,0.05893,7.92,2.39,0.0,0.104,-0.084,0.083798,2.7,0.0,-1.35,1.39,0.043,89.0,0.863,0.935,5356.3,0.02532,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.0004,-0.0005,0.021,-0.021,1.37,0.094,27.45,0.0245,0.00045,0.021,1361.5691170620178,258.73244599891166,904.0866069151293,14.073875722133884,18.613477156190406,4.0525993956381
K2-138 e,8.26146,0.0782,12.97,3.39,0.0,0.156,-0.11,0.1343,2.97,0.0,-1.99,1.98,0.077,88.6,0.863,0.935,5356.3,0.03599,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.00053,-0.00066,0.021,-0.021,1.9849999999999999,0.133,27.45,0.0245,0.000595,0.021,1108.2835629531085,190.61139265770862,784.8287063987002,12.214752656336985,28.603710669283572,5.780184516573666
K2-138 f,12.75758,0.10447,1.63,2.904,0.0,0.164,-0.111,0.085069,3.2,0.0,-1.18,2.12,0.062,88.8,0.863,0.935,5356.3,0.03085,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.0007,-0.00088,0.021,-0.021,1.65,0.1375,27.45,0.0245,0.00079,0.021,189.80370815530202,192.97147497997503,679.0198320832703,10.564120905919202,123.78643875138921,126.74829080866587
K2-138 g,41.96797,0.23109,4.32,3.013,0.0,0.303,-0.251,0.084149,4.75,0.0,-3.03,5.26,0.059,89.4,0.863,0.935,5356.3,0.03187,0.14,0.0,10.756,Transit,0.0,41.8,-13.1,0.031,-0.018,0.00154,-0.00196,0.021,-0.021,4.145,0.277,27.45,0.0245,0.0017499999999999998,0.021,467.3000161298016,456.5285876804348,456.549298629702,7.103548250771594,35.07435605351397,35.0787440628489
K2-141 b,0.2803244,0.00747,4.97,1.51,0.0,0.05,-0.05,0.0507,0.94,0.0,-0.34,0.35,0.0,86.3,0.681,0.708,4570.0,0.02088,0.0,0.0,9.086,Transit,0.0,100.0,-100.0,0.018,-0.018,0.0001,-0.0001,0.021,-0.021,0.345,0.05,100.0,0.018,0.0001,0.021,2140.488045626801,205.3577458151827,1924.5864336824945,50.8570248885684,55.18082567653348,7.4592114402602165
K2-146 b,2.6446,0.0248,5.77,2.05,0.0,0.06,-0.06,0.386,1.32,0.0,-0.18,0.18,0.129,88.93,0.33,0.331,3385.0,0.0572,-0.02,0.0,12.183,Transit,0.0,70.0,-70.0,0.01,-0.01,0.0002,-0.0002,0.021,-0.021,0.18,0.06,70.0,0.01,0.0002,0.021,1348.2747571520865,89.43150567282018,544.625244078108,14.133711602085835,34.429142242096944,3.9440479775334
K2-146 c,4.00498,0.0327,7.49,2.19,0.0,0.07,-0.07,,,0.0,-0.24,0.24,0.075,87.54,0.33,0.331,3385.0,0.0612,-0.02,0.0,12.183,Transit,0.0,70.0,-70.0,0.01,-0.01,0.0006,-0.0006,0.021,-0.021,0.24,0.07,70.0,0.01,0.0006,0.021,1533.5710465257794,109.66255349982815,474.29629447265404,12.914251281516844,28.16066614149439,3.4177471723386414
